,index,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金,本番着順,合計賞金,賞金平均,着差平均,ﾀｲﾑ指数平均
148,148,2021/02/21,高知,晴,11,アメジスト特別,,11,5,5,45.3,10.0,4,山崎雅由,56.0,ダ1400,重,2.0,1:32.0,0.4,51.0,9-9-9-9,0.0-41.6,39.4,489(-3),,,モルトベーネ,18.0,8,3631.5,29.286290322580644,1.195967741935484,58.66935483870968
149,149,2019/10/16,大井,曇,10,リーブラ賞,,14,3,4,180.7,14.0,14,松崎正泰,55.0,ダ1400,重,5.0,1:30.5,3.3,50.0,13-14-14,37.4-37.6,39.2,496(+9),,,リコーヴィッカース,0.0,9,3528.8999999999996,30.421551724137927,1.4594827586206898,59.689655172413794
150,150,2021/03/14,佐賀,晴,11,アクアマリン賞,,9,7,7,209.9,9.0,8.0,出水拓人,56.0,ダ1300,稍,0.0,1:23.5,1.6,54.0,9-9-9-9,0.0-37.6,37.0,447(-6),,,キタカラキタムスメ,0.0,10.0,4617.2,46.63838383838384,1.6696969696969701,56.98989898989899
151,151,2020/12/11,大井,曇,11,スマイルシティ・品川,,16,5,9,8.2,5,10,山崎誠士,55,ダ1400,良,-7,1:27.9,1.2,68,7-7-7,35.8-38.7,39.2,463(-1),,,レイナブローニュ,0.0,1,2672.0,121.45454545454545,0.5454545454545455,76.27272727272727
152,152,2021/03/27,佐賀,曇,7,志布志湾賞,,8,8,8,2.9,2,2,鮫島克也,54.0,ダ1800,良,1.0,1:57.2,0.1,69.0,1-1-3-3,0.0-38.8,38.9,476(-11),,,テイエムギフテッド,36.0,2,2249.7,56.24249999999999,0.785,61.6
153,153,2020/09/29,名古屋,曇,10,カシオペア座特別,,11,7,9,1.2,1,1,岡部誠,54.0,ダ1600,良,13,1:45.6,-0.6,66,4-3-2,0.0-40.5,40.2,491(+3),,,(アンビシャススター),47.0,3,789.5,21.930555555555557,0.5694444444444444,68.55555555555556
154,154,2021/02/21,佐賀,晴,9,向春賞,,9,1,1,1.6,1.0,1.0,石川慎将,54,ダ1400,稍,1.0,1:27.9,-0.4,80.0,2-1-1-1,0.0-38.7,38.7,481(+4),,,(サノノカガヤキ),80.0,4.0,872.0,31.142857142857142,0.3892857142857143,59.57142857142857
155,155,2021/03/11,大井,晴,12,プリムラ賞競走,,16,4,8,35.1,8,4,御神本訓,55,ダ1400,良,-6,1:27.6,1.3,72,9-14-12,35.4-38.5,38.4,476(+13),,,マムティキング,79.5,5,3012.5,188.28125,0.66875,67.625
156,156,2021/01/11,佐賀,曇,10,セレブレイトC,,10,8,10,4.9,3.0,1.0,倉富隆一,54,ダ1400,不,8.0,1:29.6,-0.3,68.0,3-3-3-1,0.0-37.6,37.6,438(+2),,,(データヴァリュー),64.0,6.0,866.4,24.066666666666666,0.8944444444444445,54.44444444444444
157,157,2020/07/19,佐賀,曇,10,吉野ヶ里記念(G),,12,5,5,8.5,3.0,1.0,石川慎将,52,ダ1400,良,-6.0,1:26.9,-0.6,85.0,5-5-5-3,0.0-38.6,37.1,465(+7),,,(ハッピーハッピー),250.0,7.0,2570.6,102.824,0.536,61.16
158,158,2020/05/31,佐賀,曇,10,九州ダービー栄城賞(G),,12,6,7,3.9,2.0,1.0,兒島真二,54,ダ2000,良,2.0,2:10.7,-1.1,77.0,9-8-5-1,0.0-40.0,39.3,446(0),,,(エアーポケット),700.0,8.0,1264.8,57.49090909090909,1.3227272727272725,52.40909090909091
159,159,2020/05/14,川崎,晴,10,アルタイル特別,,9,3,3,8.6,5.0,7,本田正重,53,ダ2000,良,-4,2:13.7,1.9,64,4-4-5-6,39.1-38.6,40.0,472(-3),,,アッキー,0.0,9,1836.8,73.472,1.056,58.88
160,160,2020/12/30,大井,晴,10,東京シンデレラマイル(G),,15,7,14,12.8,5,11,本田正重,52,ダ1600,良,-5,1:42.5,1.4,62,1-1-1-1,38.2-38.1,39.5,500(-8),,,ダノンレジーナ,0.0,10,1560.0,195.0,0.5750000000000001,55.625
161,161,2020/06/06,佐賀,曇,8,遠賀川賞(OP),,9,4,4,1.7,1,1,田中純,54,ダ1400,良,5.0,1:28.3,-0.7,80.0,3-3-2-1,0.0-38.5,38.4,473(-2),,,(アルゴセイコウ),120.0,11,1453.0,41.51428571428571,0.43714285714285706,69.68571428571428
162,162,2020/11/15,佐賀,晴,10,有明海特別,,11,1,1,5.5,3.0,5,倉富隆一,53,ダ1400,良,12,1:30.2,0.3,65,4-3-4-7,0.0-39.9,39.8,464(-5),,,キャプテンハウテン,6.0,12,1248.6999999999998,35.677142857142854,0.6942857142857143,64.62857142857143
